Model,Fold,Site,N,ACC,F1,Sens,Spec,TN,FP,FN,TP
TS_Riemann_LinSVM_mean_centering,1,CALTECH,8,0.5,0.3333333333333333,0.25,0.75,3,1,3,1
TS_Riemann_LinSVM_mean_centering,1,CMU,4,0.5,0.0,0.0,1.0,2,0,2,0
TS_Riemann_LinSVM_mean_centering,1,KKI,9,0.8888888888888888,0.8571428571428571,0.75,1.0,5,0,1,3
TS_Riemann_LinSVM_mean_centering,1,LEUVEN,13,0.6923076923076923,0.5,0.3333333333333333,1.0,7,0,4,2
TS_Riemann_LinSVM_mean_centering,1,MAX_MUN,11,0.09090909090909091,0.16666666666666666,0.2,0.0,0,6,4,1
TS_Riemann_LinSVM_mean_centering,1,NYU,35,0.8,0.72,0.6,0.95,19,1,6,9
TS_Riemann_LinSVM_mean_centering,1,OHSU,4,0.75,0.6666666666666666,0.5,1.0,2,0,1,1
TS_Riemann_LinSVM_mean_centering,1,OLIN,7,0.5714285714285714,0.5714285714285714,0.5,0.6666666666666666,2,1,2,2
TS_Riemann_LinSVM_mean_centering,1,PITT,11,0.8181818181818182,0.8,0.6666666666666666,1.0,5,0,2,4
TS_Riemann_LinSVM_mean_centering,1,SBL,6,0.8333333333333334,0.8571428571428571,1.0,0.6666666666666666,2,1,0,3
TS_Riemann_LinSVM_mean_centering,1,SDSU,7,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.5,2,2,1,2
TS_Riemann_LinSVM_mean_centering,1,STANFORD,8,0.625,0.5714285714285714,0.5,0.75,3,1,2,2
TS_Riemann_LinSVM_mean_centering,1,TRINITY,10,0.5,0.5454545454545454,0.6,0.4,2,3,2,3
TS_Riemann_LinSVM_mean_centering,1,UCLA,20,0.9,0.9166666666666666,1.0,0.7777777777777778,7,2,0,11
TS_Riemann_LinSVM_mean_centering,1,UM,28,0.75,0.6956521739130435,0.6153846153846154,0.8666666666666667,13,2,5,8
TS_Riemann_LinSVM_mean_centering,1,USM,15,0.8666666666666667,0.9090909090909091,1.0,0.6,3,2,0,10
TS_Riemann_LinSVM_mean_centering,1,YALE,11,0.7272727272727273,0.5714285714285714,0.4,1.0,6,0,3,2
TS_Riemann_LinSVM_mean_centering,2,CALTECH,7,0.7142857142857143,0.75,0.75,0.6666666666666666,2,1,1,3
TS_Riemann_LinSVM_mean_centering,2,CMU,6,0.8333333333333334,0.8,0.6666666666666666,1.0,3,0,1,2
TS_Riemann_LinSVM_mean_centering,2,KKI,9,1.0,1.0,1.0,1.0,5,0,0,4
TS_Riemann_LinSVM_mean_centering,2,LEUVEN,12,0.75,0.7692307692307693,0.8333333333333334,0.6666666666666666,4,2,1,5
TS_Riemann_LinSVM_mean_centering,2,MAX_MUN,11,0.5454545454545454,0.4444444444444444,0.4,0.6666666666666666,4,2,3,2
TS_Riemann_LinSVM_mean_centering,2,NYU,35,0.8,0.7586206896551724,0.7333333333333333,0.85,17,3,4,11
TS_Riemann_LinSVM_mean_centering,2,OHSU,5,0.8,0.6666666666666666,0.5,1.0,3,0,1,1
TS_Riemann_LinSVM_mean_centering,2,OLIN,7,0.8571428571428571,0.8571428571428571,0.75,1.0,3,0,1,3
TS_Riemann_LinSVM_mean_centering,2,PITT,11,0.6363636363636364,0.6,0.5,0.8,4,1,3,3
TS_Riemann_LinSVM_mean_centering,2,SBL,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,2
TS_Riemann_LinSVM_mean_centering,2,SDSU,7,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.75,3,1,1,2
TS_Riemann_LinSVM_mean_centering,2,STANFORD,8,0.75,0.75,0.75,0.75,3,1,1,3
TS_Riemann_LinSVM_mean_centering,2,TRINITY,10,0.6,0.6,0.6,0.6,3,2,2,3
TS_Riemann_LinSVM_mean_centering,2,UCLA,19,0.7368421052631579,0.7058823529411765,0.6,0.8888888888888888,8,1,4,6
TS_Riemann_LinSVM_mean_centering,2,UM,28,0.6428571428571429,0.6153846153846154,0.6153846153846154,0.6666666666666666,10,5,5,8
TS_Riemann_LinSVM_mean_centering,2,USM,14,0.7142857142857143,0.7777777777777778,0.7777777777777778,0.6,3,2,2,7
TS_Riemann_LinSVM_mean_centering,2,YALE,12,0.75,0.7272727272727273,0.6666666666666666,0.8333333333333334,5,1,2,4
TS_Riemann_LinSVM_mean_centering,3,CALTECH,6,0.6666666666666666,0.75,1.0,0.3333333333333333,1,2,0,3
TS_Riemann_LinSVM_mean_centering,3,CMU,6,0.3333333333333333,0.0,0.0,0.6666666666666666,2,1,3,0
TS_Riemann_LinSVM_mean_centering,3,KKI,10,0.7,0.5714285714285714,0.5,0.8333333333333334,5,1,2,2
TS_Riemann_LinSVM_mean_centering,3,LEUVEN,13,0.8461538461538461,0.8,0.6666666666666666,1.0,7,0,2,4
TS_Riemann_LinSVM_mean_centering,3,MAX_MUN,10,0.7,0.7692307692307693,1.0,0.4,2,3,0,5
TS_Riemann_LinSVM_mean_centering,3,NYU,35,0.7142857142857143,0.6428571428571429,0.6,0.8,16,4,6,9
TS_Riemann_LinSVM_mean_centering,3,OHSU,6,0.6666666666666666,0.5,0.3333333333333333,1.0,3,0,2,1
TS_Riemann_LinSVM_mean_centering,3,OLIN,7,0.8571428571428571,0.8888888888888888,1.0,0.6666666666666666,2,1,0,4
TS_Riemann_LinSVM_mean_centering,3,PITT,12,0.5833333333333334,0.5454545454545454,0.5,0.6666666666666666,4,2,3,3
TS_Riemann_LinSVM_mean_centering,3,SBL,6,0.6666666666666666,0.5,0.3333333333333333,1.0,3,0,2,1
TS_Riemann_LinSVM_mean_centering,3,SDSU,6,0.6666666666666666,0.5,0.5,0.75,3,1,1,1
TS_Riemann_LinSVM_mean_centering,3,STANFORD,8,1.0,1.0,1.0,1.0,4,0,0,4
TS_Riemann_LinSVM_mean_centering,3,TRINITY,9,0.8888888888888888,0.8888888888888888,1.0,0.8,4,1,0,4
TS_Riemann_LinSVM_mean_centering,3,UCLA,20,0.65,0.72,0.8181818181818182,0.4444444444444444,4,5,2,9
TS_Riemann_LinSVM_mean_centering,3,UM,27,0.8518518518518519,0.8333333333333334,0.7692307692307693,0.9285714285714286,13,1,3,10
TS_Riemann_LinSVM_mean_centering,3,USM,14,0.7142857142857143,0.7777777777777778,0.7777777777777778,0.6,3,2,2,7
TS_Riemann_LinSVM_mean_centering,3,YALE,12,0.5833333333333334,0.6153846153846154,0.6666666666666666,0.5,3,3,2,4
TS_Riemann_LinSVM_mean_centering,4,CALTECH,8,0.625,0.5714285714285714,0.5,0.75,3,1,2,2
TS_Riemann_LinSVM_mean_centering,4,CMU,6,0.8333333333333334,0.8,0.6666666666666666,1.0,3,0,1,2
TS_Riemann_LinSVM_mean_centering,4,KKI,10,1.0,1.0,1.0,1.0,6,0,0,4
TS_Riemann_LinSVM_mean_centering,4,LEUVEN,13,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.7142857142857143,5,2,2,4
TS_Riemann_LinSVM_mean_centering,4,MAX_MUN,9,0.3333333333333333,0.25,0.25,0.4,2,3,3,1
TS_Riemann_LinSVM_mean_centering,4,NYU,35,0.8285714285714286,0.8,0.8,0.85,17,3,3,12
TS_Riemann_LinSVM_mean_centering,4,OHSU,6,0.3333333333333333,0.5,0.6666666666666666,0.0,0,3,1,2
TS_Riemann_LinSVM_mean_centering,4,OLIN,6,0.5,0.4,0.3333333333333333,0.6666666666666666,2,1,2,1
TS_Riemann_LinSVM_mean_centering,4,PITT,11,0.6363636363636364,0.6,0.6,0.6666666666666666,4,2,2,3
TS_Riemann_LinSVM_mean_centering,4,SBL,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2,1
TS_Riemann_LinSVM_mean_centering,4,SDSU,8,1.0,1.0,1.0,1.0,5,0,0,3
TS_Riemann_LinSVM_mean_centering,4,STANFORD,8,0.625,0.6666666666666666,0.75,0.5,2,2,1,3
TS_Riemann_LinSVM_mean_centering,4,TRINITY,9,0.4444444444444444,0.4444444444444444,0.5,0.4,2,3,2,2
TS_Riemann_LinSVM_mean_centering,4,UCLA,19,0.7368421052631579,0.7619047619047619,0.7272727272727273,0.75,6,2,3,8
TS_Riemann_LinSVM_mean_centering,4,UM,28,0.7142857142857143,0.6923076923076923,0.6923076923076923,0.7333333333333333,11,4,4,9
TS_Riemann_LinSVM_mean_centering,4,USM,14,0.7142857142857143,0.8,0.8888888888888888,0.4,2,3,1,8
TS_Riemann_LinSVM_mean_centering,4,YALE,11,0.7272727272727273,0.7692307692307693,0.8333333333333334,0.6,3,2,1,5
TS_Riemann_LinSVM_mean_centering,5,CALTECH,8,0.625,0.6666666666666666,0.75,0.5,2,2,1,3
TS_Riemann_LinSVM_mean_centering,5,CMU,5,0.4,0.5714285714285714,0.6666666666666666,0.0,0,2,1,2
TS_Riemann_LinSVM_mean_centering,5,KKI,10,0.5,0.5454545454545454,0.75,0.3333333333333333,2,4,1,3
TS_Riemann_LinSVM_mean_centering,5,LEUVEN,12,0.6666666666666666,0.5,0.4,0.8571428571428571,6,1,3,2
TS_Riemann_LinSVM_mean_centering,5,MAX_MUN,11,0.45454545454545453,0.4,0.4,0.5,3,3,3,2
TS_Riemann_LinSVM_mean_centering,5,NYU,35,0.6,0.5333333333333333,0.5333333333333333,0.65,13,7,7,8
TS_Riemann_LinSVM_mean_centering,5,OHSU,5,0.4,0.4,0.5,0.3333333333333333,1,2,1,1
TS_Riemann_LinSVM_mean_centering,5,OLIN,7,0.5714285714285714,0.5714285714285714,0.5,0.6666666666666666,2,1,2,2
TS_Riemann_LinSVM_mean_centering,5,PITT,11,0.7272727272727273,0.6666666666666666,0.5,1.0,5,0,3,3
TS_Riemann_LinSVM_mean_centering,5,SBL,6,0.5,0.0,0.0,1.0,3,0,3,0
TS_Riemann_LinSVM_mean_centering,5,SDSU,8,0.625,0.4,0.3333333333333333,0.8,4,1,2,1
TS_Riemann_LinSVM_mean_centering,5,STANFORD,7,0.5714285714285714,0.6666666666666666,1.0,0.25,1,3,0,3
TS_Riemann_LinSVM_mean_centering,5,TRINITY,9,0.8888888888888888,0.8571428571428571,0.75,1.0,5,0,1,3
TS_Riemann_LinSVM_mean_centering,5,UCLA,20,0.6,0.6923076923076923,0.8181818181818182,0.3333333333333333,3,6,2,9
TS_Riemann_LinSVM_mean_centering,5,UM,29,0.6896551724137931,0.6896551724137931,0.7142857142857143,0.6666666666666666,10,5,4,10
TS_Riemann_LinSVM_mean_centering,5,USM,14,0.7857142857142857,0.8235294117647058,0.7777777777777778,0.8,4,1,2,7
TS_Riemann_LinSVM_mean_centering,5,YALE,10,0.9,0.9090909090909091,1.0,0.8,4,1,0,5
